franchise,season,avg_score,n_episodes
A Discovery of Witches,1,-0.139,8
A Discovery of Witches,2,-0.101,10
A Discovery of Witches,3,-0.093,7
Adolescence,1,0.061,13
Adolescence,2,0.052,13
Alexa & Katie,1,0.005,13
Alexa & Katie,2,0.016,10
Alexa & Katie,3,0.031,8
Alexa & Katie,4,0.013,8
Alice in Borderland,1,0.018,8
Alice in Borderland,2,-0.006,8
Alice in Borderland,3,0.039,6
All American,1,-0.024,8
All American,2,0.035,10
All American,3,0.006,12
All American,4,-0.008,12
All American,5,0.015,12
All American,6,-0.023,12
All American,7,-0.023,13
All American,8,-0.026,13
All American,9,0.028,13
All American,10,-0.001,13
All American,11,0.003,13
All American,12,-0.027,13
All American,13,-0.017,13
All American,14,-0.002,12
All American,15,0.013,13
All American,16,-0.017,13
All American,17,0.007,13
All American,18,-0.004,13
All American,19,0.003,13
All American,20,-0.007,16
All American,21,-0.008,16
All American,22,-0.004,16
All American,23,0.009,15
All American,24,-0.033,15
Alpha Males,1,0.024,10
Alpha Males,2,0.013,10
Alpha Males,3,0.026,10
ALVINNN!!! And the Chipmunks,3,-0.031,52
ALVINNN!!! And the Chipmunks,4,0.007,52
ALVINNN!!! And the Chipmunks,5,0.002,52
American Manhunt,1,-0.106,3
American Murder,1,-0.137,12
American Murder,2,-0.103,13
American Murder,3,-0.152,13
American Murder,4,-0.094,13
American Murder,5,-0.021,12
American Murder,6,-0.038,10
American Murder,7,0.04,11
American Murder,8,-0.06,10
American Murder,9,-0.136,9
American Murder,10,-0.069,10
American Murder,11,-0.224,10
American Murder,12,0.002,9
American Primeval,1,-0.052,6
Animal Kingdom,1,-0.043,10
Animal Kingdom,2,-0.007,13
Animal Kingdom,3,0.021,13
Animal Kingdom,4,-0.005,13
Animal Kingdom,5,-0.032,13
Animal Kingdom,6,0.022,13
Apple Cider Vinegar,1,-0.006,6
Arcane,1,-0.051,9
Arcane,2,-0.17,9
Asterix & Obelix,1,-0.027,5
Attack on Titan,1,-0.003,25
Attack on Titan,2,-0.044,12
Attack on Titan,3,-0.018,22
Attack on Titan,4,0.003,28
Bad Influence,1,0,7
Bandidos,1,0.02,10
Barbie Dreamhouse Adventures,1,0.046,8
Barbie Dreamhouse Adventures,2,0.033,9
Barbie Dreamhouse Adventures,3,0.174,9
Beauty in Black,1,-0.036,16
Beauty in Black,2,-0.002,8
Bebefinn,1,0.011,50
Bebefinn,2,0.061,3
Bet,1,-0.037,10
Bet,2,0.006,10
Bet,3,0.032,10
Bet,4,-0.091,10
Bet,5,0.015,10
Bet,6,0.005,13
Better Call Saul,1,-0.037,10
Better Call Saul,2,0.006,10
Better Call Saul,3,0.032,10
Better Call Saul,4,-0.091,10
Better Call Saul,5,0.015,10
Better Call Saul,6,0.005,13
Big Mouth,1,0.015,10
Big Mouth,2,-0.01,10
Big Mouth,3,0.047,11
Big Mouth,4,-0.033,10
Big Mouth,5,0.069,10
Big Mouth,6,0.024,10
Big Mouth,7,-0.006,10
Big Mouth,8,-0.098,10
Black Doves,1,-0.16,6
Black Mirror,1,0.033,3
Black Mirror,2,0.067,3
Black Mirror,3,-0.13,6
Black Mirror,4,-0.102,6
Black Mirror,5,-0.058,3
Black Mirror,6,-0.1,5
Black Mirror,7,-0.006,6
Booba,1,0.017,39
Booba,2,0.162,26
Booba,3,0.071,26
Booba,5,0.155,26
Breaking Bad,1,-0.031,7
Breaking Bad,2,-0.047,13
Breaking Bad,3,-0.066,13
Breaking Bad,4,0.013,13
Breaking Bad,5,-0.008,16
Bridgerton,1,-0.064,8
Bridgerton,2,0.041,8
Bridgerton,3,-0.028,8
Brooklyn Nine-Nine,1,-0.042,22
Brooklyn Nine-Nine,2,0.008,23
Brooklyn Nine-Nine,3,-0.036,23
Brooklyn Nine-Nine,4,-0.035,22
Brooklyn Nine-Nine,5,-0.098,22
Brooklyn Nine-Nine,6,-0.052,18
Brooklyn Nine-Nine,7,-0.01,13
Brooklyn Nine-Nine,8,0.095,9
Cassandra,1,0.005,6
Castlevania,1,-0.105,4
Castlevania,2,-0.113,8
Castlevania,3,0.013,10
Castlevania,4,0.016,10
Caught,1,0,40
Chip and Potato,1,0.079,40
Cobra Kai,1,0.036,10
Cobra Kai,2,0.044,10
